feedback_id,user_id,date,user_type,scene,feature,feedback,issue_category,rating,session_duration,retention,is_new_user
F200532,U100153,2026-08-25,回归玩家,连败,情绪陪伴,复盘讲得挺具体，知道下一把该改什么了,回复质量,5,308,1,0
F200144,U100872,2026-08-25,竞技玩家,开黑组队,情绪陪伴,用了两周没掉过线，聊天记录都在,稳定性,4,334,0,0
F200159,U100650,2026-08-25,竞技玩家,上分冲分,对局复盘,连跪的时候它没有讲大道理，先顺着我说了两句，舒服多了,回复质量,5,246,0,0
F200454,U100007,2026-08-25,回归玩家,连败,情绪陪伴,高峰期等了一分多钟才出回复,响应速度,2,533,0,0
F200381,U100568,2026-08-25,竞技玩家,连败,人格切换,上下文记得住，不用每次都从头说,功能缺失,5,352,1,0
F200083,U100498,2026-08-25,竞技玩家,日常闲聊,攻略问答,用了两周没掉过线，聊天记录都在,稳定性,4,638,0,0
F200085,U100653,2026-08-25,休闲玩家,上分冲分,攻略问答,第一次使用不知道该输入什么，愣了半天,交互体验,1,340,0,0
F200136,U100246,2026-08-25,回归玩家,开黑组队,情绪陪伴,连跪的时候它没有讲大道理，先顺着我说了两句，舒服多了,回复质量,5,951,1,0
F200297,U100516,2026-08-25,新手玩家,卡关,对局复盘,它记得我上一把玩的是什么，接得上话,回复质量,5,529,1,0
F200185,U100513,2026-08-25,竞技玩家,上分冲分,攻略问答,只回了两三句，很贴心,回复长度,5,418,0,0
F200413,U100063,2026-08-25,新手玩家,卡关,情绪陪伴,页面挺清爽，选完人格直接开聊,交互体验,4,289,1,0
F200448,U100709,2026-08-25,竞技玩家,攻略查询,上下文记忆,每次都一大段，重点还得我自己找,回复长度,2,222,1,0
F200507,U100688,2026-08-25,竞技玩家,上分冲分,上下文记忆,内容不错，但要我先解释半天背景,回复质量,3,443,0,0
F200192,U100382,2026-08-25,新手玩家,日常闲聊,攻略问答,用了两周没掉过线，聊天记录都在,稳定性,5,836,0,1
F200602,U100340,2026-08-25,竞技玩家,日常闲聊,攻略问答,复盘讲得挺具体，知道下一把该改什么了,回复质量,5,506,0,0
F200013,U100400,2026-08-25,竞技玩家,日常闲聊,情绪陪伴,速度可以，不打断我和朋友语音,响应速度,5,407,0,0
F200422,U100881,2026-08-25,竞技玩家,卡关,人格切换,回复经常没有理解我的意思，答非所问,回复质量,1,409,0,0
F200228,U100357,2026-08-26,竞技玩家,连败,攻略问答,复盘讲得挺具体，知道下一把该改什么了,回复质量,5,780,1,0
F200492,U100163,2026-08-26,竞技玩家,日常闲聊,上下文记忆,偶尔会报错，需要重新开一个对话,稳定性,2,491,0,0
F200427,U100034,2026-08-26,新手玩家,上分冲分,对局复盘,连跪的时候它没有讲大道理，先顺着我说了两句，舒服多了,回复质量,5,415,1,0
F200475,U100000,2026-08-26,新手玩家,日常闲聊,对局复盘,偶尔会转圈，刷新一下就好了,稳定性,3,852,0,0
F200410,U100088,2026-08-26,休闲玩家,上分冲分,上下文记忆,一句吐槽回得很快，长一点的复盘就要等,响应速度,3,444,0,0
F200516,U100256,2026-08-26,竞技玩家,连败,对局复盘,连跪的时候它没有讲大道理，先顺着我说了两句，舒服多了,回复质量,5,367,1,0
F200108,U100776,2026-08-26,新手玩家,上分冲分,情绪陪伴,第一次打开就有示例，不用想说什么,交互体验,5,258,1,0
F200514,U100062,2026-08-26,竞技玩家,连败,情绪陪伴,回复不长不短，正好是打游戏间隙能看完的量,回复长度,5,725,1,0
F200380,U100872,2026-08-26,竞技玩家,开黑组队,对局复盘,用了两周没掉过线，聊天记录都在,稳定性,4,1153,1,0
F200118,U100535,2026-08-26,休闲玩家,开黑组队,对局复盘,回复不长不短，正好是打游戏间隙能看完的量,回复长度,5,1052,1,0
F200084,U100167,2026-08-26,新手玩家,上分冲分,对局复盘,它记得我上一把玩的是什么，接得上话,回复质量,5,158,1,0
F200483,U100361,2026-08-26,休闲玩家,连败,人格切换,回复经常没有理解我的意思，答非所问,回复质量,2,791,0,0
F200519,U100286,2026-08-26,休闲玩家,连败,情绪陪伴,第一次打开就有示例，不用想说什么,交互体验,5,744,1,1
F200518,U100115,2026-08-26,新手玩家,开黑组队,攻略问答,选损友模式吐槽得刚好，不难受也不敷衍,回复质量,5,475,1,0
F200534,U100356,2026-08-26,回归玩家,上分冲分,情绪陪伴,人格切换很好玩，换一个像换了个搭子,功能缺失,5,213,0,0
F200557,U100866,2026-08-26,竞技玩家,日常闲聊,情绪陪伴,用了两周没掉过线，聊天记录都在,稳定性,4,827,1,0
F200359,U100846,2026-08-26,竞技玩家,卡关,情绪陪伴,上下文记得住，不用每次都从头说,功能缺失,5,363,1,0
F200435,U100226,2026-08-26,新手玩家,上分冲分,情绪陪伴,页面挺清爽，选完人格直接开聊,交互体验,5,383,1,0
F200235,U100607,2026-08-26,休闲玩家,上分冲分,人格切换,它记得我上一把玩的是什么，接得上话,回复质量,4,177,0,0
F200439,U100753,2026-08-26,休闲玩家,开黑组队,对局复盘,我都说了烦死了，它还在教我调整心态,回复质量,2,471,0,0
F200308,U100401,2026-08-26,休闲玩家,日常闲聊,情绪陪伴,上下文记得住，不用每次都从头说,功能缺失,5,562,0,0
F200137,U100208,2026-08-26,竞技玩家,卡关,人格切换,第一次打开就有示例，不用想说什么,交互体验,5,242,0,0
F200600,U100834,2026-08-26,休闲玩家,连败,攻略问答,只回了两三句，很贴心,回复长度,5,862,0,0
F200610,U100031,2026-08-26,回归玩家,开黑组队,上下文记忆,回复挺快，局间那点时间也够用,响应速度,5,386,0,0
F200579,U100133,2026-08-26,休闲玩家,连败,情绪陪伴,不知道在哪儿切换游戏，找了很久,交互体验,2,501,0,1
F200161,U100008,2026-08-26,休闲玩家,上分冲分,对局复盘,同一个问题问两次，说话方式差别很大,回复质量,2,194,1,0
F200230,U100361,2026-08-26,休闲玩家,连败,情绪陪伴,生成到一半停住了，还要重新问一次,响应速度,2,738,0,0
F200342,U100701,2026-08-26,回归玩家,连败,对局复盘,不支持多设备同步，手机上聊的电脑上看不到,功能缺失,2,828,0,1
F200247,U100761,2026-08-26,新手玩家,卡关,人格切换,回复挺快，局间那点时间也够用,响应速度,5,621,0,0
F200140,U100646,2026-08-26,回归玩家,日常闲聊,情绪陪伴,人格切换很好玩，换一个像换了个搭子,功能缺失,4,493,1,1
F200289,U100457,2026-08-26,休闲玩家,日常闲聊,上下文记忆,只回了两三句，很贴心,回复长度,5,591,0,0
F200038,U100169,2026-08-27,休闲玩家,日常闲聊,情绪陪伴,上下文记得住，不用每次都从头说,功能缺失,5,756,1,0
F200324,U100731,2026-08-27,新手玩家,攻略查询,上下文记忆,不知道怎么删掉刚才说的那句话,交互体验,2,187,0,0
F200203,U100149,2026-08-27,休闲玩家,连败,情绪陪伴,选损友模式吐槽得刚好，不难受也不敷衍,回复质量,5,689,1,0
F200174,U100894,2026-08-27,休闲玩家,攻略查询,对局复盘,复盘讲得挺具体，知道下一把该改什么了,回复质量,5,318,0,0
F200335,U100379,2026-08-27,回归玩家,日常闲聊,情绪陪伴,只回了两三句，很贴心,回复长度,5,447,0,0
F200450,U100450,2026-08-27,回归玩家,卡关,对局复盘,只回了两三句，很贴心,回复长度,5,566,1,0
F200029,U100359,2026-08-27,新手玩家,连败,情绪陪伴,第一次打开就有示例，不用想说什么,交互体验,4,248,1,0
F200487,U100811,2026-08-27,休闲玩家,上分冲分,情绪陪伴,生成到一半停住了，还要重新问一次,响应速度,2,268,1,0
F200404,U100546,2026-08-27,竞技玩家,攻略查询,上下文记忆,选损友模式吐槽得刚好，不难受也不敷衍,回复质量,5,279,0,0
F200436,U100741,2026-08-27,休闲玩家,上分冲分,人格切换,不支持多设备同步，手机上聊的电脑上看不到,功能缺失,2,336,0,0
F200511,U100080,2026-08-27,新手玩家,日常闲聊,情绪陪伴,回复有点慢，等它加载完我下一把都开了,响应速度,2,888,0,1
F200200,U100133,2026-08-27,休闲玩家,连败,对局复盘,回复不长不短，正好是打游戏间隙能看完的量,回复长度,4,612,1,1
F200238,U100224,2026-08-27,竞技玩家,连败,对局复盘,偶尔会报错，需要重新开一个对话,稳定性,1,790,0,0
F200362,U100299,2026-08-27,休闲玩家,开黑组队,情绪陪伴,它记得我上一把玩的是什么，接得上话,回复质量,5,474,0,1
F200375,U100245,2026-08-27,竞技玩家,上分冲分,攻略问答,选损友模式吐槽得刚好，不难受也不敷衍,回复质量,4,251,0,0
F200567,U100434,2026-08-27,竞技玩家,开黑组队,攻略问答,第一次打开就有示例，不用想说什么,交互体验,4,863,1,0
F200542,U100197,2026-08-27,竞技玩家,上分冲分,情绪陪伴,人格切换很好玩，换一个像换了个搭子,功能缺失,5,212,0,0
F200377,U100750,2026-08-28,回归玩家,日常闲聊,情绪陪伴,回复挺快，局间那点时间也够用,响应速度,5,182,0,0
F200462,U100049,2026-08-28,休闲玩家,连败,攻略问答,回复不长不短，正好是打游戏间隙能看完的量,回复长度,5,460,0,0
F200151,U100508,2026-08-28,竞技玩家,日常闲聊,情绪陪伴,人格切换很好玩，换一个像换了个搭子,功能缺失,5,556,1,0
F200614,U100157,2026-08-28,休闲玩家,卡关,攻略问答,它记得我上一把玩的是什么，接得上话,回复质量,5,470,0,0
F200508,U100079,2026-08-28,新手玩家,开黑组队,对局复盘,内容不错，但要我先解释半天背景,回复质量,3,999,1,0
F200041,U100037,2026-08-28,竞技玩家,攻略查询,情绪陪伴,速度一般，打团的时候不太方便等,响应速度,3,144,0,0
F200245,U100175,2026-08-28,回归玩家,攻略查询,上下文记忆,我只要一句安慰，它给我列了五条建议,回复长度,2,276,1,0
F200541,U100048,2026-08-28,休闲玩家,连败,情绪陪伴,上下文记得住，不用每次都从头说,功能缺失,5,798,0,0
F200036,U100605,2026-08-28,新手玩家,攻略查询,对局复盘,复盘讲得挺具体，知道下一把该改什么了,回复质量,5,307,1,0
F200578,U100198,2026-08-28,休闲玩家,卡关,攻略问答,偶尔会转圈，刷新一下就好了,稳定性,3,585,1,0
F200197,U100534,2026-08-28,竞技玩家,卡关,人格切换,回复不长不短，正好是打游戏间隙能看完的量,回复长度,4,216,0,0
F200594,U100116,2026-08-28,竞技玩家,上分冲分,攻略问答,上下文记得住，不用每次都从头说,功能缺失,4,155,0,0
F200482,U100720,2026-08-28,竞技玩家,上分冲分,攻略问答,我只要一句安慰，它给我列了五条建议,回复长度,2,461,0,0
F200334,U100776,2026-08-28,新手玩家,上分冲分,情绪陪伴,一句吐槽回得很快，长一点的复盘就要等,响应速度,3,470,1,0
F200513,U100056,2026-08-28,休闲玩家,连败,情绪陪伴,用了两周没掉过线，聊天记录都在,稳定性,4,476,0,0
F200447,U100387,2026-08-29,休闲玩家,攻略查询,情绪陪伴,同一个问题问两次，说话方式差别很大,回复质量,2,133,1,0
F200134,U100303,2026-08-29,新手玩家,攻略查询,上下文记忆,回复挺快，局间那点时间也够用,响应速度,5,191,1,0
F200153,U100131,2026-08-29,休闲玩家,攻略查询,攻略问答,人格切换很好玩，换一个像换了个搭子,功能缺失,5,141,0,0
F200121,U100497,2026-08-29,回归玩家,上分冲分,情绪陪伴,选损友模式吐槽得刚好，不难受也不敷衍,回复质量,5,246,0,0
F200467,U100780,2026-08-29,新手玩家,日常闲聊,情绪陪伴,用了两周没掉过线，聊天记录都在,稳定性,4,420,0,0
F200171,U100053,2026-08-29,休闲玩家,上分冲分,情绪陪伴,第一次打开就有示例，不用想说什么,交互体验,4,176,0,0
F200123,U100461,2026-08-29,竞技玩家,上分冲分,对局复盘,人格切换很好玩，换一个像换了个搭子,功能缺失,5,318,0,0
F200148,U100006,2026-08-29,竞技玩家,卡关,攻略问答,人格切换很好玩，换一个像换了个搭子,功能缺失,5,443,1,0
F200461,U100746,2026-08-29,竞技玩家,日常闲聊,攻略问答,不知道怎么删掉刚才说的那句话,交互体验,2,457,0,1
F200431,U100748,2026-08-29,竞技玩家,攻略查询,情绪陪伴,不支持多设备同步，手机上聊的电脑上看不到,功能缺失,1,104,0,0
F200273,U100424,2026-08-29,竞技玩家,日常闲聊,攻略问答,说了一堆正确的废话，没有一句是我当时想听的,回复质量,2,223,0,0
F200499,U100103,2026-08-29,休闲玩家,卡关,情绪陪伴,上下文记得住，不用每次都从头说,功能缺失,4,497,0,0
F200547,U100844,2026-08-29,休闲玩家,卡关,情绪陪伴,只回了两三句，很贴心,回复长度,4,219,0,0
F200048,U100695,2026-08-29,新手玩家,攻略查询,情绪陪伴,回复不长不短，正好是打游戏间隙能看完的量,回复长度,5,194,0,1
F200584,U100025,2026-08-29,竞技玩家,卡关,对局复盘,有时候回复会稍微长一点，需要划两下,回复长度,3,532,1,0
F200277,U100729,2026-08-29,休闲玩家,日常闲聊,攻略问答,高峰期等了一分多钟才出回复,响应速度,2,714,0,0
F200596,U100433,2026-08-29,竞技玩家,上分冲分,情绪陪伴,回复不长不短，正好是打游戏间隙能看完的量,回复长度,5,398,1,0
F200558,U100137,2026-08-29,回归玩家,卡关,情绪陪伴,回复挺快，局间那点时间也够用,响应速度,5,576,0,1
F200395,U100875,2026-08-29,竞技玩家,日常闲聊,人格切换,说了一堆正确的废话，没有一句是我当时想听的,回复质量,1,276,0,0
F200598,U100035,2026-08-29,竞技玩家,连败,攻略问答,人格切换很好玩，换一个像换了个搭子,功能缺失,5,829,1,0
F200619,U100482,2026-08-29,回归玩家,上分冲分,对局复盘,人格切换很好玩，换一个像换了个搭子,功能缺失,5,163,0,0
F200611,U100854,2026-08-29,竞技玩家,卡关,上下文记忆,只回了两三句，很贴心,回复长度,5,418,1,0
F200595,U100191,2026-08-30,回归玩家,开黑组队,对局复盘,偶尔会报错，需要重新开一个对话,稳定性,2,779,0,0
F200305,U100671,2026-08-30,休闲玩家,攻略查询,攻略问答,用了两周没掉过线，聊天记录都在,稳定性,5,354,0,1
F200632,U100583,2026-08-30,新手玩家,连败,攻略问答,用了两周没掉过线，聊天记录都在,稳定性,5,298,0,0
F200244,U100058,2026-08-30,休闲玩家,连败,人格切换,上下文记得住，不用每次都从头说,功能缺失,5,423,1,1
F200053,U100694,2026-08-30,休闲玩家,开黑组队,情绪陪伴,回复挺快，局间那点时间也够用,响应速度,5,884,1,0
F200490,U100847,2026-08-30,新手玩家,连败,情绪陪伴,选损友模式吐槽得刚好，不难受也不敷衍,回复质量,4,454,1,0
F200019,U100769,2026-08-30,休闲玩家,上分冲分,对局复盘,选损友模式吐槽得刚好，不难受也不敷衍,回复质量,4,462,1,0
F200592,U100770,2026-08-30,竞技玩家,攻略查询,对局复盘,页面挺清爽，选完人格直接开聊,交互体验,4,100,0,0
F200158,U100554,2026-08-30,休闲玩家,开黑组队,攻略问答,上下文记得住，不用每次都从头说,功能缺失,5,437,1,0
F200607,U100012,2026-08-30,竞技玩家,连败,攻略问答,复盘讲得挺具体，知道下一把该改什么了,回复质量,5,839,0,0
F200540,U100066,2026-08-30,休闲玩家,开黑组队,人格切换,偶尔会报错，需要重新开一个对话,稳定性,1,713,0,0
F200425,U100645,2026-08-30,休闲玩家,日常闲聊,对局复盘,第一次打开就有示例，不用想说什么,交互体验,5,336,0,0
F200170,U100822,2026-08-30,新手玩家,开黑组队,攻略问答,速度可以，不打断我和朋友语音,响应速度,4,704,1,0
F200423,U100297,2026-08-30,新手玩家,上分冲分,情绪陪伴,人格切换很好玩，换一个像换了个搭子,功能缺失,5,298,1,0
F200216,U100713,2026-08-30,竞技玩家,卡关,情绪陪伴,只回了两三句，很贴心,回复长度,4,667,0,0
F200191,U100007,2026-08-30,回归玩家,卡关,情绪陪伴,页面挺清爽，选完人格直接开聊,交互体验,5,602,1,0
F200096,U100273,2026-08-30,回归玩家,连败,情绪陪伴,上下文记得住，不用每次都从头说,功能缺失,5,878,0,0
F200424,U100267,2026-08-30,竞技玩家,连败,情绪陪伴,第一次打开就有示例，不用想说什么,交互体验,5,431,0,0
F200094,U100832,2026-08-30,竞技玩家,攻略查询,人格切换,用了两周没掉过线，聊天记录都在,稳定性,4,196,1,1
F200303,U100616,2026-08-30,新手玩家,上分冲分,情绪陪伴,回复不长不短，正好是打游戏间隙能看完的量,回复长度,5,123,0,0
F200271,U100507,2026-08-31,休闲玩家,连败,情绪陪伴,用了两周没掉过线，聊天记录都在,稳定性,5,535,1,0
F200270,U100853,2026-08-31,竞技玩家,开黑组队,攻略问答,选损友模式吐槽得刚好，不难受也不敷衍,回复质量,4,438,0,0
F200317,U100116,2026-08-31,竞技玩家,连败,对局复盘,选损友模式吐槽得刚好，不难受也不敷衍,回复质量,5,363,0,0
F200356,U100056,2026-08-31,休闲玩家,攻略查询,攻略问答,回复挺快，局间那点时间也够用,响应速度,5,320,0,0
F200229,U100449,2026-08-31,竞技玩家,日常闲聊,攻略问答,上下文记得住，不用每次都从头说,功能缺失,5,812,1,0
F200336,U100115,2026-08-31,新手玩家,连败,情绪陪伴,复盘讲得挺具体，知道下一把该改什么了,回复质量,4,366,0,0
F200340,U100709,2026-08-31,竞技玩家,上分冲分,攻略问答,页面挺清爽，选完人格直接开聊,交互体验,5,171,0,0
F200369,U100829,2026-08-31,休闲玩家,卡关,上下文记忆,它记得我上一把玩的是什么，接得上话,回复质量,4,700,0,0
F200432,U100698,2026-08-31,竞技玩家,日常闲聊,对局复盘,选损友模式吐槽得刚好，不难受也不敷衍,回复质量,4,852,1,0
F200275,U100423,2026-08-31,竞技玩家,连败,攻略问答,复盘讲得挺具体，知道下一把该改什么了,回复质量,5,721,1,0
F200322,U100604,2026-08-31,竞技玩家,上分冲分,情绪陪伴,上下文记得住，不用每次都从头说,功能缺失,5,209,1,0
F200243,U100719,2026-08-31,竞技玩家,上分冲分,人格切换,只回了两三句，很贴心,回复长度,5,138,1,0
F200639,U100467,2026-08-31,休闲玩家,日常闲聊,对局复盘,回复不长不短，正好是打游戏间隙能看完的量,回复长度,5,864,0,0
F200537,U100407,2026-08-31,竞技玩家,上分冲分,情绪陪伴,希望能一键组队，现在只能自己找人,功能缺失,2,378,0,0
F200049,U100035,2026-08-31,竞技玩家,开黑组队,情绪陪伴,复盘讲得挺具体，知道下一把该改什么了,回复质量,4,694,1,0
F200624,U100120,2026-08-31,竞技玩家,连败,对局复盘,第一次打开就有示例，不用想说什么,交互体验,5,594,0,0
F200460,U100296,2026-08-31,竞技玩家,连败,上下文记忆,第一次打开就有示例，不用想说什么,交互体验,5,779,1,1
F200037,U100095,2026-08-31,竞技玩家,日常闲聊,对局复盘,希望能一键组队，现在只能自己找人,功能缺失,1,336,0,1
F200597,U100073,2026-08-31,休闲玩家,连败,情绪陪伴,回复太长了，打游戏的时候根本看不完,回复长度,2,316,0,0
F200548,U100067,2026-08-31,回归玩家,开黑组队,情绪陪伴,聊到一半断了，之前的上下文也没了,稳定性,2,855,1,0
F200116,U100784,2026-08-31,休闲玩家,攻略查询,情绪陪伴,希望能自动读我的战绩，不用每次自己说,功能缺失,3,314,0,0
F200093,U100352,2026-08-31,休闲玩家,上分冲分,对局复盘,用了两周没掉过线，聊天记录都在,稳定性,5,145,1,0
F200565,U100203,2026-09-01,新手玩家,连败,攻略问答,希望能自动读我的战绩，不用每次自己说,功能缺失,3,820,0,0
F200397,U100509,2026-09-01,竞技玩家,上分冲分,情绪陪伴,它记得我上一把玩的是什么，接得上话,回复质量,4,428,0,0
F200098,U100808,2026-09-01,休闲玩家,卡关,情绪陪伴,页面挺清爽，选完人格直接开聊,交互体验,4,243,0,0
F200393,U100575,2026-09-01,休闲玩家,连败,对局复盘,速度可以，不打断我和朋友语音,响应速度,5,617,0,0
F200242,U100480,2026-09-01,回归玩家,开黑组队,对局复盘,人格切换很好玩，换一个像换了个搭子,功能缺失,5,379,1,0
F200347,U100425,2026-09-01,竞技玩家,上分冲分,攻略问答,一句吐槽回得很快，长一点的复盘就要等,响应速度,3,367,1,0
F200562,U100718,2026-09-01,竞技玩家,上分冲分,情绪陪伴,选损友模式吐槽得刚好，不难受也不敷衍,回复质量,4,372,0,1
F200576,U100794,2026-09-01,回归玩家,日常闲聊,对局复盘,连跪的时候它没有讲大道理，先顺着我说了两句，舒服多了,回复质量,5,372,0,1
F200384,U100075,2026-09-01,休闲玩家,开黑组队,情绪陪伴,页面挺清爽，选完人格直接开聊,交互体验,5,664,0,0
F200382,U100115,2026-09-01,新手玩家,连败,人格切换,选损友模式吐槽得刚好，不难受也不敷衍,回复质量,5,785,1,0
F200354,U100827,2026-09-01,竞技玩家,连败,攻略问答,只回了两三句，很贴心,回复长度,4,269,1,0
F200066,U100721,2026-09-01,回归玩家,开黑组队,情绪陪伴,页面挺清爽，选完人格直接开聊,交互体验,5,705,0,1
F200379,U100378,2026-09-01,竞技玩家,卡关,攻略问答,用了两周没掉过线，聊天记录都在,稳定性,4,683,1,1
F200157,U100763,2026-09-01,竞技玩家,上分冲分,攻略问答,第一次打开就有示例，不用想说什么,交互体验,5,329,1,0
F200079,U100133,2026-09-01,休闲玩家,连败,人格切换,它记得我上一把玩的是什么，接得上话,回复质量,5,853,1,1
F200236,U100773,2026-09-01,竞技玩家,连败,情绪陪伴,用了两周没掉过线，聊天记录都在,稳定性,5,266,0,0
F200408,U100013,2026-09-01,休闲玩家,攻略查询,攻略问答,连跪的时候它没有讲大道理，先顺着我说了两句，舒服多了,回复质量,5,250,0,0
F200287,U100207,2026-09-01,新手玩家,日常闲聊,上下文记忆,选损友模式吐槽得刚好，不难受也不敷衍,回复质量,5,779,0,0
F200405,U100486,2026-09-01,回归玩家,攻略查询,情绪陪伴,人格切换很好玩，换一个像换了个搭子,功能缺失,5,262,0,0
F200184,U100070,2026-09-01,竞技玩家,日常闲聊,情绪陪伴,内容不错，但要我先解释半天背景,回复质量,3,357,1,0
F200636,U100767,2026-09-01,回归玩家,日常闲聊,攻略问答,有时候能接住我的情绪，有时候又变成讲道理,回复质量,3,596,0,0
F200183,U100424,2026-09-01,竞技玩家,卡关,情绪陪伴,速度可以，不打断我和朋友语音,响应速度,5,250,1,0
F200625,U100206,2026-09-01,回归玩家,攻略查询,情绪陪伴,页面挺清爽，选完人格直接开聊,交互体验,5,98,0,0
F200332,U100209,2026-09-01,竞技玩家,开黑组队,情绪陪伴,复盘讲得挺具体，知道下一把该改什么了,回复质量,5,537,0,0
F200328,U100660,2026-09-01,新手玩家,上分冲分,上下文记忆,只回了两三句，很贴心,回复长度,5,448,0,0
F200307,U100652,2026-09-01,新手玩家,卡关,上下文记忆,打完一把想马上吐槽，结果卡在那儿不动,响应速度,2,606,0,1
F200486,U100015,2026-09-01,回归玩家,卡关,对局复盘,同一个问题问两次，说话方式差别很大,回复质量,2,617,1,0
F200249,U100416,2026-09-01,回归玩家,开黑组队,上下文记忆,人格切换很好玩，换一个像换了个搭子,功能缺失,4,847,0,0
F200603,U100782,2026-09-01,回归玩家,上分冲分,情绪陪伴,第一次打开就有示例，不用想说什么,交互体验,5,258,0,0
F200008,U100155,2026-09-02,休闲玩家,攻略查询,情绪陪伴,页面挺清爽，选完人格直接开聊,交互体验,4,163,1,1
F200612,U100113,2026-09-02,新手玩家,连败,攻略问答,速度可以，不打断我和朋友语音,响应速度,4,481,0,0
F200065,U100355,2026-09-02,回归玩家,连败,攻略问答,上下文记得住，不用每次都从头说,功能缺失,5,492,1,0
F200064,U100283,2026-09-02,回归玩家,卡关,攻略问答,聊到一半断了，之前的上下文也没了,稳定性,2,438,0,0
F200312,U100863,2026-09-02,休闲玩家,日常闲聊,人格切换,用了两周没掉过线，聊天记录都在,稳定性,5,311,0,0
F200070,U100552,2026-09-02,休闲玩家,上分冲分,上下文记忆,速度可以，不打断我和朋友语音,响应速度,4,450,0,0
F200316,U100498,2026-09-02,竞技玩家,日常闲聊,人格切换,希望能先给一句结论，再展开,回复长度,3,255,0,0
F200028,U100100,2026-09-02,休闲玩家,卡关,对局复盘,说了一堆正确的废话，没有一句是我当时想听的,回复质量,2,454,0,0
F200563,U100853,2026-09-02,竞技玩家,连败,攻略问答,连跪的时候它没有讲大道理，先顺着我说了两句，舒服多了,回复质量,5,333,0,0
F200256,U100133,2026-09-02,休闲玩家,连败,情绪陪伴,人格切换很好玩，换一个像换了个搭子,功能缺失,5,547,0,1
F200588,U100188,2026-09-02,休闲玩家,上分冲分,情绪陪伴,用了两周没掉过线，聊天记录都在,稳定性,5,155,0,0
F200581,U100416,2026-09-02,回归玩家,开黑组队,情绪陪伴,人格切换很好玩，换一个像换了个搭子,功能缺失,5,711,0,0
F200252,U100839,2026-09-02,新手玩家,卡关,情绪陪伴,人格切换很好玩，换一个像换了个搭子,功能缺失,5,323,1,0
